Authors,Total_Contacts,Reference_Genome,Cis_Contacts,Cis Percent,Cis/Total,Trans percent,Trans contacts,Cis/Trans
Kim et al 2020,5058,hg19,4696,,0.928,,,
Kim et al 2020,1753,hg19,1626,,0.928,,,
Kim et al 2020,1925,hg19,1786,,0.928,,,
Kim et al 2020,4966,hg19,4608,,0.928,,,
Kim et al 2020,1616,hg19,1500,,0.928,,,
Kim et al 2020,2887,hg19,2679,,0.928,,,
Kim et al 2020,1699,hg19,1577,,0.928,,,
Kim et al 2020,2716,hg19,2521,,0.928,,,
Kim et al 2020,1018,hg19,945,,0.928,,,
Kim et al 2020,3342,hg19,3102,,0.928,,,
Kim et al 2020,1305,hg19,1211,,0.928,,,
Kim et al 2020,3451,hg19,3204,,0.928,,,
Kim et al 2020,2436,hg19,2260,,0.928,,,
Kim et al 2020,3906,hg19,3626,,0.928,,,
Kim et al 2020,3254,hg19,3020,,0.928,,,
Kim et al 2020,1560,hg19,1447,,0.928,,,
Kim et al 2020,1144,hg19,1061,,0.927,,,
Kim et al 2020,1513,hg19,1402,,0.927,,,
Kim et al 2020,4137,hg19,3836,,0.927,,,
Kim et al 2020,3573,hg19,3311,,0.927,,,
Kim et al 2020,7186,hg19,6664,,0.927,,,
Kim et al 2020,9623,hg19,8921,,0.927,,,
Kim et al 2020,2987,hg19,2769,,0.927,,,
Kim et al 2020,3942,hg19,3656,,0.927,,,
Kim et al 2020,4739,hg19,4392,,0.927,,,
Kim et al 2020,4507,hg19,4179,,0.927,,,
Kim et al 2020,3370,hg19,3123,,0.927,,,
Kim et al 2020,10782,hg19,9996,,0.927,,,
Kim et al 2020,2332,hg19,2162,,0.927,,,
Kim et al 2020,9043,hg19,8379,,0.927,,,
Kim et al 2020,4054,hg19,3757,,0.927,,,
Kim et al 2020,2081,hg19,1929,,0.927,,,
Kim et al 2020,3241,hg19,3004,,0.927,,,
Kim et al 2020,6253,hg19,5798,,0.927,,,
Kim et al 2020,2913,hg19,2700,,0.927,,,
Kim et al 2020,1951,hg19,1808,,0.927,,,
Kim et al 2020,3117,hg19,2890,,0.927,,,
Kim et al 2020,4463,hg19,4137,,0.927,,,
Kim et al 2020,2077,hg19,1925,,0.927,,,
Kim et al 2020,4186,hg19,3881,,0.927,,,
Kim et al 2020,1734,hg19,1607,,0.927,,,
Kim et al 2020,2410,hg19,2234,,0.927,,,
Kim et al 2020,1694,hg19,1571,,0.927,,,
Kim et al 2020,2743,hg19,2542,,0.927,,,
Kim et al 2020,2482,hg19,2300,,0.927,,,
Kim et al 2020,2358,hg19,2185,,0.927,,,
Kim et al 2020,5134,hg19,4757,,0.927,,,
Kim et al 2020,2277,hg19,2111,,0.927,,,
Kim et al 2020,2820,hg19,2614,,0.927,,,
Kim et al 2020,2138,hg19,1982,,0.927,,,
Kim et al 2020,2652,hg19,2458,,0.927,,,
Kim et al 2020,3184,hg19,2950,,0.927,,,
Kim et al 2020,3272,hg19,3034,,0.927,,,
Kim et al 2020,5398,hg19,5005,,0.927,,,
Kim et al 2020,6821,hg19,6313,,0.926,,,
Kim et al 2020,3184,hg19,2947,,0.926,,,
Kim et al 2020,6491,hg19,6012,,0.926,,,
Kim et al 2020,13586,hg19,12576,,0.926,,,
Kim et al 2020,1940,hg19,1796,,0.926,,,
Kim et al 2020,29427,hg19,27237,,0.926,,,
Kim et al 2020,6824,hg19,6322,,0.926,,,
Kim et al 2020,4758,hg19,4404,,0.926,,,
Kim et al 2020,3577,hg19,3312,,0.926,,,
Kim et al 2020,2001,hg19,1853,,0.926,,,
Kim et al 2020,3236,hg19,2996,,0.926,,,
Kim et al 2020,4545,hg19,4210,,0.926,,,
Kim et al 2020,1405,hg19,1301,,0.926,,,
Kim et al 2020,3194,hg19,2959,,0.926,,,
Kim et al 2020,1496,hg19,1386,,0.926,,,
Kim et al 2020,2316,hg19,2145,,0.926,,,
Kim et al 2020,1733,hg19,1604,,0.926,,,
Kim et al 2020,1870,hg19,1731,,0.926,,,
Kim et al 2020,2358,hg19,2183,,0.926,,,
Kim et al 2020,2514,hg19,2327,,0.926,,,
Kim et al 2020,4219,hg19,3906,,0.926,,,
Kim et al 2020,3385,hg19,3133,,0.926,,,
Kim et al 2020,1592,hg19,1474,,0.926,,,
Kim et al 2020,1752,hg19,1622,,0.926,,,
Kim et al 2020,4370,hg19,4047,,0.926,,,
Kim et al 2020,1375,hg19,1273,,0.926,,,
Kim et al 2020,1753,hg19,1624,,0.926,,,
Kim et al 2020,4176,hg19,3868,,0.926,,,
Kim et al 2020,1609,hg19,1490,,0.926,,,
Kim et al 2020,2426,hg19,2247,,0.926,,,
Kim et al 2020,7300,hg19,6763,,0.926,,,
Kim et al 2020,3177,hg19,2943,,0.926,,,
Kim et al 2020,1563,hg19,1447,,0.926,,,
Kim et al 2020,1115,hg19,1032,,0.926,,,
Kim et al 2020,1587,hg19,1469,,0.926,,,
Kim et al 2020,6616,hg19,6129,,0.926,,,
Kim et al 2020,3850,hg19,3567,,0.926,,,
Kim et al 2020,10289,hg19,9531,,0.926,,,
Kim et al 2020,2073,hg19,1920,,0.926,,,
Kim et al 2020,4211,hg19,3898,,0.926,,,
Kim et al 2020,3112,hg19,2881,,0.926,,,
Kim et al 2020,1994,hg19,1847,,0.926,,,
Kim et al 2020,2379,hg19,2204,,0.926,,,
Kim et al 2020,2404,hg19,2227,,0.926,,,
Kim et al 2020,4864,hg19,4501,,0.925,,,
Kim et al 2020,6178,hg19,5716,,0.925,,,
Kim et al 2020,9458,hg19,8747,,0.925,,,
Kim et al 2020,1526,hg19,1411,,0.925,,,
Kim et al 2020,1884,hg19,1742,,0.925,,,
Kim et al 2020,6190,hg19,5726,,0.925,,,
Kim et al 2020,3405,hg19,3151,,0.925,,,
Kim et al 2020,2837,hg19,2623,,0.925,,,
Kim et al 2020,1759,hg19,1627,,0.925,,,
Kim et al 2020,4819,hg19,4457,,0.925,,,
Kim et al 2020,4632,hg19,4286,,0.925,,,
Kim et al 2020,3497,hg19,3233,,0.925,,,
Kim et al 2020,5059,hg19,4678,,0.925,,,
Kim et al 2020,5891,hg19,5450,,0.925,,,
Kim et al 2020,3930,hg19,3636,,0.925,,,
Kim et al 2020,1179,hg19,1091,,0.925,,,
Kim et al 2020,3012,hg19,2786,,0.925,,,
Kim et al 2020,1734,hg19,1604,,0.925,,,
Kim et al 2020,6089,hg19,5632,,0.925,,,
Kim et al 2020,5011,hg19,4633,,0.925,,,
Kim et al 2020,3701,hg19,3422,,0.925,,,
Kim et al 2020,1046,hg19,968,,0.925,,,
Kim et al 2020,1927,hg19,1783,,0.925,,,
Kim et al 2020,1126,hg19,1041,,0.925,,,
Kim et al 2020,2818,hg19,2607,,0.925,,,
Kim et al 2020,2394,hg19,2215,,0.925,,,
Kim et al 2020,6833,hg19,6322,,0.925,,,
Kim et al 2020,2292,hg19,2120,,0.925,,,
Kim et al 2020,3969,hg19,3673,,0.925,,,
Kim et al 2020,1889,hg19,1748,,0.925,,,
Kim et al 2020,3115,hg19,2882,,0.925,,,
Kim et al 2020,4071,hg19,3764,,0.925,,,
Kim et al 2020,5782,hg19,5348,,0.925,,,
Kim et al 2020,2790,hg19,2582,,0.925,,,
Kim et al 2020,4646,hg19,4297,,0.925,,,
Kim et al 2020,3158,hg19,2921,,0.925,,,
Kim et al 2020,3347,hg19,3097,,0.925,,,
Kim et al 2020,1562,hg19,1445,,0.925,,,
Kim et al 2020,3760,hg19,3479,,0.925,,,
Kim et al 2020,4782,hg19,4425,,0.925,,,
Kim et al 2020,1015,hg19,939,,0.925,,,
Kim et al 2020,3358,hg19,3107,,0.925,,,
Kim et al 2020,4437,hg19,4102,,0.924,,,
Kim et al 2020,3638,hg19,3360,,0.924,,,
Kim et al 2020,9149,hg19,8453,,0.924,,,
Kim et al 2020,16265,hg19,15022,,0.924,,,
Kim et al 2020,3904,hg19,3606,,0.924,,,
Kim et al 2020,5862,hg19,5415,,0.924,,,
Kim et al 2020,6701,hg19,6193,,0.924,,,
Kim et al 2020,3732,hg19,3449,,0.924,,,
Kim et al 2020,4368,hg19,4037,,0.924,,,
Kim et al 2020,4885,hg19,4512,,0.924,,,
Kim et al 2020,4817,hg19,4452,,0.924,,,
Kim et al 2020,6579,hg19,6077,,0.924,,,
Kim et al 2020,2712,hg19,2507,,0.924,,,
Kim et al 2020,3196,hg19,2953,,0.924,,,
Kim et al 2020,2843,hg19,2627,,0.924,,,
Kim et al 2020,3612,hg19,3337,,0.924,,,
Kim et al 2020,5334,hg19,4929,,0.924,,,
Kim et al 2020,3040,hg19,2810,,0.924,,,
Kim et al 2020,8143,hg19,7527,,0.924,,,
Kim et al 2020,9150,hg19,8452,,0.924,,,
Kim et al 2020,2820,hg19,2606,,0.924,,,
Kim et al 2020,7439,hg19,6875,,0.924,,,
Kim et al 2020,2335,hg19,2158,,0.924,,,
Kim et al 2020,4674,hg19,4321,,0.924,,,
Kim et al 2020,4709,hg19,4352,,0.924,,,
Kim et al 2020,2095,hg19,1936,,0.924,,,
Kim et al 2020,3218,hg19,2975,,0.924,,,
Kim et al 2020,2024,hg19,1871,,0.924,,,
Kim et al 2020,3120,hg19,2882,,0.924,,,
Kim et al 2020,3007,hg19,2777,,0.924,,,
Kim et al 2020,3496,hg19,3232,,0.924,,,
Kim et al 2020,3606,hg19,3333,,0.924,,,
Kim et al 2020,4682,hg19,4325,,0.924,,,
Kim et al 2020,3162,hg19,2923,,0.924,,,
Kim et al 2020,1602,hg19,1481,,0.924,,,
Kim et al 2020,3576,hg19,3304,,0.924,,,
Kim et al 2020,3650,hg19,3374,,0.924,,,
Kim et al 2020,2008,hg19,1856,,0.924,,,
Kim et al 2020,1748,hg19,1615,,0.924,,,
Kim et al 2020,4278,hg19,3952,,0.924,,,
Kim et al 2020,4800,hg19,4437,,0.924,,,
Kim et al 2020,3355,hg19,3100,,0.924,,,
Kim et al 2020,1205,hg19,1114,,0.924,,,
Kim et al 2020,5161,hg19,4770,,0.924,,,
Kim et al 2020,1349,hg19,1246,,0.924,,,
Kim et al 2020,3004,hg19,2776,,0.924,,,
Kim et al 2020,1868,hg19,1726,,0.924,,,
Kim et al 2020,2191,hg19,2025,,0.924,,,
Kim et al 2020,1781,hg19,1646,,0.924,,,
Kim et al 2020,5172,hg19,4780,,0.924,,,
Kim et al 2020,2761,hg19,2550,,0.924,,,
Kim et al 2020,4927,hg19,4555,,0.924,,,
Kim et al 2020,1858,hg19,1717,,0.924,,,
Kim et al 2020,1789,hg19,1653,,0.924,,,
Kim et al 2020,3066,hg19,2832,,0.924,,,
Kim et al 2020,6918,hg19,6385,,0.923,,,
Kim et al 2020,4753,hg19,4388,,0.923,,,
Kim et al 2020,12946,hg19,11947,,0.923,,,
Kim et al 2020,3620,hg19,3342,,0.923,,,
Kim et al 2020,3573,hg19,3298,,0.923,,,
Kim et al 2020,5162,hg19,4762,,0.923,,,
Kim et al 2020,4221,hg19,3898,,0.923,,,
Kim et al 2020,3746,hg19,3456,,0.923,,,
Kim et al 2020,3473,hg19,3207,,0.923,,,
Kim et al 2020,6777,hg19,6258,,0.923,,,
Kim et al 2020,6996,hg19,6460,,0.923,,,
Kim et al 2020,5504,hg19,5082,,0.923,,,
Kim et al 2020,7753,hg19,7157,,0.923,,,
Kim et al 2020,3663,hg19,3382,,0.923,,,
Kim et al 2020,4273,hg19,3946,,0.923,,,
Kim et al 2020,5287,hg19,4880,,0.923,,,
Kim et al 2020,3758,hg19,3467,,0.923,,,
Kim et al 2020,7238,hg19,6681,,0.923,,,
Kim et al 2020,1542,hg19,1424,,0.923,,,
Kim et al 2020,4439,hg19,4097,,0.923,,,
Kim et al 2020,1762,hg19,1626,,0.923,,,
Kim et al 2020,2048,hg19,1890,,0.923,,,
Kim et al 2020,1821,hg19,1681,,0.923,,,
Kim et al 2020,5420,hg19,5004,,0.923,,,
Kim et al 2020,1552,hg19,1433,,0.923,,,
Kim et al 2020,3588,hg19,3313,,0.923,,,
Kim et al 2020,6543,hg19,6042,,0.923,,,
Kim et al 2020,2035,hg19,1878,,0.923,,,
Kim et al 2020,4665,hg19,4306,,0.923,,,
Kim et al 2020,3133,hg19,2892,,0.923,,,
Kim et al 2020,1973,hg19,1822,,0.923,,,
Kim et al 2020,1395,hg19,1288,,0.923,,,
Kim et al 2020,8839,hg19,8154,,0.923,,,
Kim et al 2020,2389,hg19,2206,,0.923,,,
Kim et al 2020,2509,hg19,2317,,0.923,,,
Kim et al 2020,2555,hg19,2357,,0.923,,,
Kim et al 2020,1451,hg19,1339,,0.923,,,
Kim et al 2020,1098,hg19,1014,,0.923,,,
Kim et al 2020,1084,hg19,1000,,0.923,,,
Kim et al 2020,4737,hg19,4371,,0.923,,,
Kim et al 2020,4806,hg19,4437,,0.923,,,
Kim et al 2020,5955,hg19,5494,,0.923,,,
Kim et al 2020,3218,hg19,2969,,0.923,,,
Kim et al 2020,3657,hg19,3376,,0.923,,,
Kim et al 2020,982,hg19,906,,0.923,,,
Kim et al 2020,3146,hg19,2905,,0.923,,,
Kim et al 2020,1344,hg19,1240,,0.923,,,
Kim et al 2020,1332,hg19,1229,,0.923,,,
Kim et al 2020,3627,hg19,3346,,0.923,,,
Kim et al 2020,2674,hg19,2469,,0.923,,,
Kim et al 2020,4613,hg19,4256,,0.923,,,
Kim et al 2020,3289,hg19,3036,,0.923,,,
Kim et al 2020,1807,hg19,1668,,0.923,,,
Kim et al 2020,3825,hg19,3529,,0.923,,,
Kim et al 2020,1476,hg19,1363,,0.923,,,
Kim et al 2020,1097,hg19,1013,,0.923,,,
Kim et al 2020,3452,hg19,3185,,0.923,,,
Kim et al 2020,2805,hg19,2589,,0.923,,,
Kim et al 2020,1227,hg19,1132,,0.923,,,
Kim et al 2020,4387,hg19,4049,,0.923,,,
Kim et al 2020,1226,hg19,1130,,0.922,,,
Kim et al 2020,3353,hg19,3090,,0.922,,,
Kim et al 2020,2478,hg19,2284,,0.922,,,
Kim et al 2020,3999,hg19,3688,,0.922,,,
Kim et al 2020,7616,hg19,7024,,0.922,,,
Kim et al 2020,1094,hg19,1009,,0.922,,,
Kim et al 2020,4754,hg19,4383,,0.922,,,
Kim et al 2020,6989,hg19,6444,,0.922,,,
Kim et al 2020,6943,hg19,6401,,0.922,,,
Kim et al 2020,7963,hg19,7341,,0.922,,,
Kim et al 2020,6344,hg19,5847,,0.922,,,
Kim et al 2020,8696,hg19,8017,,0.922,,,
Kim et al 2020,5788,hg19,5334,,0.922,,,
Kim et al 2020,3666,hg19,3379,,0.922,,,
Kim et al 2020,3391,hg19,3128,,0.922,,,
Kim et al 2020,7918,hg19,7298,,0.922,,,
Kim et al 2020,10089,hg19,9300,,0.922,,,
Kim et al 2020,6464,hg19,5957,,0.922,,,
Kim et al 2020,2798,hg19,2580,,0.922,,,
Kim et al 2020,2717,hg19,2506,,0.922,,,
Kim et al 2020,2874,hg19,2651,,0.922,,,
Kim et al 2020,2377,hg19,2191,,0.922,,,
Kim et al 2020,2003,hg19,1846,,0.922,,,
Kim et al 2020,1674,hg19,1543,,0.922,,,
Kim et al 2020,7132,hg19,6573,,0.922,,,
Kim et al 2020,2886,hg19,2661,,0.922,,,
Kim et al 2020,4857,hg19,4480,,0.922,,,
Kim et al 2020,3344,hg19,3082,,0.922,,,
Kim et al 2020,2500,hg19,2305,,0.922,,,
Kim et al 2020,3186,hg19,2939,,0.922,,,
Kim et al 2020,3953,hg19,3643,,0.922,,,
Kim et al 2020,7228,hg19,6662,,0.922,,,
Kim et al 2020,1338,hg19,1233,,0.922,,,
Kim et al 2020,3655,hg19,3369,,0.922,,,
Kim et al 2020,3406,hg19,3141,,0.922,,,
Kim et al 2020,8651,hg19,7972,,0.922,,,
Kim et al 2020,1980,hg19,1826,,0.922,,,
Kim et al 2020,2004,hg19,1848,,0.922,,,
Kim et al 2020,2592,hg19,2389,,0.922,,,
Kim et al 2020,3800,hg19,3505,,0.922,,,
Kim et al 2020,2663,hg19,2456,,0.922,,,
Kim et al 2020,4868,hg19,4488,,0.922,,,
Kim et al 2020,1149,hg19,1059,,0.922,,,
Kim et al 2020,2014,hg19,1857,,0.922,,,
Kim et al 2020,1980,hg19,1825,,0.922,,,
Kim et al 2020,5555,hg19,5124,,0.922,,,
Kim et al 2020,2756,hg19,2540,,0.922,,,
Kim et al 2020,3883,hg19,3581,,0.922,,,
Kim et al 2020,2194,hg19,2023,,0.922,,,
Kim et al 2020,3587,hg19,3309,,0.922,,,
Kim et al 2020,6436,hg19,5934,,0.922,,,
Kim et al 2020,3893,hg19,3589,,0.922,,,
Kim et al 2020,1842,hg19,1698,,0.922,,,
Kim et al 2020,4791,hg19,4418,,0.922,,,
Kim et al 2020,3690,hg19,3403,,0.922,,,
Kim et al 2020,1341,hg19,1237,,0.922,,,
Kim et al 2020,4803,hg19,4427,,0.922,,,
Kim et al 2020,2928,hg19,2700,,0.922,,,
Kim et al 2020,3048,hg19,2810,,0.922,,,
Kim et al 2020,4435,hg19,4084,,0.921,,,
Kim et al 2020,1251,hg19,1152,,0.921,,,
Kim et al 2020,1537,hg19,1416,,0.921,,,
Kim et al 2020,4974,hg19,4582,,0.921,,,
Kim et al 2020,9961,hg19,9173,,0.921,,,
Kim et al 2020,4755,hg19,4378,,0.921,,,
Kim et al 2020,3345,hg19,3082,,0.921,,,
Kim et al 2020,2241,hg19,2063,,0.921,,,
Kim et al 2020,5022,hg19,4627,,0.921,,,
Kim et al 2020,4895,hg19,4509,,0.921,,,
Kim et al 2020,9616,hg19,8854,,0.921,,,
Kim et al 2020,7376,hg19,6794,,0.921,,,
Kim et al 2020,5811,hg19,5351,,0.921,,,
Kim et al 2020,5186,hg19,4776,,0.921,,,
Kim et al 2020,5095,hg19,4691,,0.921,,,
Kim et al 2020,6310,hg19,5809,,0.921,,,
Kim et al 2020,6179,hg19,5693,,0.921,,,
Kim et al 2020,4480,hg19,4126,,0.921,,,
Kim et al 2020,2193,hg19,2019,,0.921,,,
Kim et al 2020,2534,hg19,2333,,0.921,,,
Kim et al 2020,4445,hg19,4096,,0.921,,,
Kim et al 2020,2014,hg19,1854,,0.921,,,
Kim et al 2020,4897,hg19,4509,,0.921,,,
Kim et al 2020,7429,hg19,6839,,0.921,,,
Kim et al 2020,4664,hg19,4297,,0.921,,,
Kim et al 2020,4450,hg19,4097,,0.921,,,
Kim et al 2020,4784,hg19,4404,,0.921,,,
Kim et al 2020,2860,hg19,2633,,0.921,,,
Kim et al 2020,1624,hg19,1496,,0.921,,,
Kim et al 2020,4659,hg19,4289,,0.921,,,
Kim et al 2020,3472,hg19,3197,,0.921,,,
Kim et al 2020,1916,hg19,1765,,0.921,,,
Kim et al 2020,2795,hg19,2575,,0.921,,,
Kim et al 2020,1966,hg19,1810,,0.921,,,
Kim et al 2020,2454,hg19,2259,,0.921,,,
Kim et al 2020,1990,hg19,1832,,0.921,,,
Kim et al 2020,1146,hg19,1056,,0.921,,,
Kim et al 2020,3402,hg19,3132,,0.921,,,
Kim et al 2020,3859,hg19,3555,,0.921,,,
Kim et al 2020,2594,hg19,2388,,0.921,,,
Kim et al 2020,1755,hg19,1617,,0.921,,,
Kim et al 2020,1161,hg19,1069,,0.921,,,
Kim et al 2020,1808,hg19,1666,,0.921,,,
Kim et al 2020,5315,hg19,4894,,0.921,,,
Kim et al 2020,4234,hg19,3898,,0.921,,,
Kim et al 2020,1637,hg19,1508,,0.921,,,
Kim et al 2020,1739,hg19,1601,,0.921,,,
Kim et al 2020,3571,hg19,3289,,0.921,,,
Kim et al 2020,2539,hg19,2338,,0.921,,,
Kim et al 2020,3201,hg19,2948,,0.921,,,
Kim et al 2020,1266,hg19,1166,,0.921,,,
Kim et al 2020,1791,hg19,1649,,0.921,,,
Kim et al 2020,2260,hg19,2081,,0.921,,,
Kim et al 2020,1774,hg19,1633,,0.921,,,
Kim et al 2020,1766,hg19,1626,,0.921,,,
Kim et al 2020,1471,hg19,1355,,0.921,,,
Kim et al 2020,4805,hg19,4427,,0.921,,,
Kim et al 2020,4539,hg19,4179,,0.921,,,
Kim et al 2020,2419,hg19,2229,,0.921,,,
Kim et al 2020,1281,hg19,1180,,0.921,,,
Kim et al 2020,3828,hg19,3526,,0.921,,,
Kim et al 2020,2188,hg19,2015,,0.921,,,
Kim et al 2020,1693,hg19,1559,,0.921,,,
Kim et al 2020,2434,hg19,2242,,0.921,,,
Kim et al 2020,1088,hg19,1002,,0.921,,,
Kim et al 2020,1107,hg19,1019,,0.921,,,
Kim et al 2020,1528,hg19,1408,,0.921,,,
Kim et al 2020,4347,hg19,4004,,0.921,,,
Kim et al 2020,5933,hg19,5463,,0.921,,,
Kim et al 2020,2606,hg19,2401,,0.921,,,
Kim et al 2020,2907,hg19,2677,,0.921,,,
Kim et al 2020,3256,hg19,3000,,0.921,,,
Kim et al 2020,2880,hg19,2653,,0.921,,,
Kim et al 2020,2273,hg19,2093,,0.921,,,
Kim et al 2020,4124,hg19,3796,,0.92,,,
Kim et al 2020,967,hg19,890,,0.92,,,
Kim et al 2020,5563,hg19,5118,,0.92,,,
Kim et al 2020,8369,hg19,7697,,0.92,,,
Kim et al 2020,11043,hg19,10161,,0.92,,,
Kim et al 2020,8959,hg19,8246,,0.92,,,
Kim et al 2020,5005,hg19,4606,,0.92,,,
Kim et al 2020,4047,hg19,3723,,0.92,,,
Kim et al 2020,1730,hg19,1592,,0.92,,,
Kim et al 2020,7418,hg19,6823,,0.92,,,
Kim et al 2020,12243,hg19,11268,,0.92,,,
Kim et al 2020,8087,hg19,7438,,0.92,,,
Kim et al 2020,5315,hg19,4888,,0.92,,,
Kim et al 2020,1901,hg19,1749,,0.92,,,
Kim et al 2020,1406,hg19,1294,,0.92,,,
Kim et al 2020,1523,hg19,1401,,0.92,,,
Kim et al 2020,7793,hg19,7166,,0.92,,,
Kim et al 2020,2769,hg19,2547,,0.92,,,
Kim et al 2020,1097,hg19,1009,,0.92,,,
Kim et al 2020,2772,hg19,2549,,0.92,,,
Kim et al 2020,1742,hg19,1603,,0.92,,,
Kim et al 2020,1207,hg19,1111,,0.92,,,
Kim et al 2020,3860,hg19,3550,,0.92,,,
Kim et al 2020,5422,hg19,4987,,0.92,,,
Kim et al 2020,7945,hg19,7307,,0.92,,,
Kim et al 2020,4678,hg19,4302,,0.92,,,
Kim et al 2020,3294,hg19,3031,,0.92,,,
Kim et al 2020,6292,hg19,5786,,0.92,,,
Kim et al 2020,1558,hg19,1434,,0.92,,,
Kim et al 2020,2853,hg19,2624,,0.92,,,
Kim et al 2020,2154,hg19,1982,,0.92,,,
Kim et al 2020,6606,hg19,6080,,0.92,,,
Kim et al 2020,1866,hg19,1716,,0.92,,,
Kim et al 2020,3133,hg19,2883,,0.92,,,
Kim et al 2020,5190,hg19,4773,,0.92,,,
Kim et al 2020,1639,hg19,1508,,0.92,,,
Kim et al 2020,3462,hg19,3184,,0.92,,,
Kim et al 2020,1017,hg19,936,,0.92,,,
Kim et al 2020,2586,hg19,2378,,0.92,,,
Kim et al 2020,3070,hg19,2824,,0.92,,,
Kim et al 2020,1899,hg19,1748,,0.92,,,
Kim et al 2020,2212,hg19,2035,,0.92,,,
Kim et al 2020,2113,hg19,1945,,0.92,,,
Kim et al 2020,974,hg19,896,,0.92,,,
Kim et al 2020,3910,hg19,3597,,0.92,,,
Kim et al 2020,1528,hg19,1405,,0.92,,,
Kim et al 2020,2032,hg19,1870,,0.92,,,
Kim et al 2020,4663,hg19,4291,,0.92,,,
Kim et al 2020,2367,hg19,2178,,0.92,,,
Kim et al 2020,3013,hg19,2771,,0.92,,,
Kim et al 2020,2165,hg19,1992,,0.92,,,
Kim et al 2020,2821,hg19,2596,,0.92,,,
Kim et al 2020,1928,hg19,1773,,0.92,,,
Kim et al 2020,1647,hg19,1516,,0.92,,,
Kim et al 2020,1341,hg19,1234,,0.92,,,
Kim et al 2020,1909,hg19,1756,,0.92,,,
Kim et al 2020,3378,hg19,3107,,0.92,,,
Kim et al 2020,1854,hg19,1705,,0.92,,,
Kim et al 2020,3468,hg19,3191,,0.92,,,
Kim et al 2020,3755,hg19,3454,,0.92,,,
Kim et al 2020,2697,hg19,2482,,0.92,,,
Kim et al 2020,1828,hg19,1681,,0.92,,,
Kim et al 2020,1535,hg19,1412,,0.92,,,
Kim et al 2020,3821,hg19,3516,,0.92,,,
Kim et al 2020,4087,hg19,3762,,0.92,,,
Kim et al 2020,3534,hg19,3251,,0.92,,,
Kim et al 2020,4370,hg19,4019,,0.92,,,
Kim et al 2020,7991,hg19,7348,,0.92,,,
Kim et al 2020,5904,hg19,5433,,0.92,,,
Kim et al 2020,1142,hg19,1051,,0.92,,,
Kim et al 2020,3335,hg19,3069,,0.92,,,
Kim et al 2020,1470,hg19,1352,,0.92,,,
Kim et al 2020,2199,hg19,2023,,0.92,,,
Kim et al 2020,3585,hg19,3297,,0.92,,,
Kim et al 2020,3033,hg19,2791,,0.92,,,
Kim et al 2020,4441,hg19,4086,,0.92,,,
Kim et al 2020,8879,hg19,8159,,0.919,,,
Kim et al 2020,4094,hg19,3764,,0.919,,,
Kim et al 2020,3578,hg19,3289,,0.919,,,
Kim et al 2020,7680,hg19,7059,,0.919,,,
Kim et al 2020,6215,hg19,5710,,0.919,,,
Kim et al 2020,3220,hg19,2960,,0.919,,,
Kim et al 2020,13495,hg19,12403,,0.919,,,
Kim et al 2020,3202,hg19,2944,,0.919,,,
Kim et al 2020,3795,hg19,3487,,0.919,,,
Kim et al 2020,3126,hg19,2874,,0.919,,,
Kim et al 2020,4603,hg19,4231,,0.919,,,
Kim et al 2020,7304,hg19,6715,,0.919,,,
Kim et al 2020,5574,hg19,5125,,0.919,,,
Kim et al 2020,4738,hg19,4352,,0.919,,,
Kim et al 2020,2982,hg19,2739,,0.919,,,
Kim et al 2020,7520,hg19,6913,,0.919,,,
Kim et al 2020,5479,hg19,5036,,0.919,,,
Kim et al 2020,4046,hg19,3718,,0.919,,,
Kim et al 2020,2265,hg19,2081,,0.919,,,
Kim et al 2020,10492,hg19,9637,,0.919,,,
Kim et al 2020,5113,hg19,4701,,0.919,,,
Kim et al 2020,4104,hg19,3771,,0.919,,,
Kim et al 2020,5227,hg19,4801,,0.919,,,
Kim et al 2020,12417,hg19,11408,,0.919,,,
Kim et al 2020,5878,hg19,5403,,0.919,,,
Kim et al 2020,4108,hg19,3776,,0.919,,,
Kim et al 2020,4058,hg19,3728,,0.919,,,
Kim et al 2020,8631,hg19,7931,,0.919,,,
Kim et al 2020,2537,hg19,2331,,0.919,,,
Kim et al 2020,1884,hg19,1731,,0.919,,,
Kim et al 2020,2008,hg19,1846,,0.919,,,
Kim et al 2020,1689,hg19,1552,,0.919,,,
Kim et al 2020,1220,hg19,1121,,0.919,,,
Kim et al 2020,1731,hg19,1590,,0.919,,,
Kim et al 2020,3809,hg19,3501,,0.919,,,
Kim et al 2020,10343,hg19,9505,,0.919,,,
Kim et al 2020,3398,hg19,3124,,0.919,,,
Kim et al 2020,4909,hg19,4513,,0.919,,,
Kim et al 2020,5532,hg19,5082,,0.919,,,
Kim et al 2020,6258,hg19,5750,,0.919,,,
Kim et al 2020,3283,hg19,3017,,0.919,,,
Kim et al 2020,9279,hg19,8524,,0.919,,,
Kim et al 2020,2210,hg19,2031,,0.919,,,
Kim et al 2020,3276,hg19,3012,,0.919,,,
Kim et al 2020,2641,hg19,2428,,0.919,,,
Kim et al 2020,6581,hg19,6045,,0.919,,,
Kim et al 2020,1316,hg19,1210,,0.919,,,
Kim et al 2020,2753,hg19,2530,,0.919,,,
Kim et al 2020,1691,hg19,1554,,0.919,,,
Kim et al 2020,2296,hg19,2109,,0.919,,,
Kim et al 2020,5638,hg19,5179,,0.919,,,
Kim et al 2020,4900,hg19,4503,,0.919,,,
